Date,Match_type,Outcome,Overs,Team A,Team B,Winner,Toss,Venue
3/30/2011,ODI,winner India by runs 29,50,India, Pakistan,India,bat,Punjab Cricket Association Stadium Mohali
4/2/2011,ODI,winner India by wickets 6,50,India, Sri Lanka,Sri Lanka,bat,Wankhede Stadium
1/4/2010,ODI,winner Sri Lanka by wickets 7,50,Bangladesh, Sri Lanka,Sri Lanka,field,Shere Bangla National Stadium
1/5/2010,ODI,winner Sri Lanka by wickets 5,50,India, Sri Lanka,Sri Lanka,field,Shere Bangla National Stadium
1/7/2010,ODI,winner India by wickets 6,50,Bangladesh, India,Bangladesh,bat,Shere Bangla National Stadium
1/8/2010,ODI,winner Sri Lanka by wickets 9,50,Bangladesh, Sri Lanka,Sri Lanka,field,Shere Bangla National Stadium
1/10/2010,ODI,winner India by wickets 8,50,India, Sri Lanka,Sri Lanka,bat,Shere Bangla National Stadium
1/11/2010,ODI,winner India by wickets 6,50,Bangladesh, India,India,field,Shere Bangla National Stadium
1/13/2010,ODI,winner Sri Lanka by wickets 4,50,India, Sri Lanka,Sri Lanka,field,Shere Bangla National Stadium
3/4/2010,ODI,winner Zimbabwe by runs 2,50,West Indies, Zimbabwe,Zimbabwe,bat,Providence Stadium
3/6/2010,ODI,winner West Indies by wickets 4,50,West Indies, Zimbabwe,Zimbabwe,bat,Providence Stadium
3/10/2010,ODI,winner West Indies by runs 141,50,West Indies, Zimbabwe,Zimbabwe,field,Arnos Vale Ground Kingstown
3/12/2010,ODI,winner West Indies by wickets 4,50,West Indies, Zimbabwe,West Indies,field,Arnos Vale Ground Kingstown
3/14/2010,ODI,winner West Indies by wickets 4,50,West Indies, Zimbabwe,West Indies,field,Arnos Vale Ground Kingstown
5/22/2010,ODI,winner South Africa by runs 66,50,West Indies, South Africa,West Indies,field,Sir Vivian Richards Stadium North Sound
5/24/2010,ODI,winner South Africa by runs 17,50,West Indies, South Africa,South Africa,bat,Sir Vivian Richards Stadium North Sound
5/28/2010,ODI,winner South Africa by runs 67,50,West Indies, South Africa,South Africa,bat,Windsor Park Roseau
5/30/2010,ODI,winner South Africa by wickets 7,50,West Indies, South Africa,West Indies,bat,Windsor Park Roseau
6/3/2010,ODI,winner South Africa by wickets 1,50,West Indies, South Africa,West Indies,bat,Queen's Park Oval Port of Spain
2/21/2010,ODI,winner India by runs 1,50,India, South Africa,South Africa,field,Sawai Mansingh Stadium
2/24/2010,ODI,winner India by runs 153,50,India, South Africa,India,bat,Captain Roop Singh Stadium
2/27/2010,ODI,winner South Africa by runs 90,50,India, South Africa,South Africa,bat,Sardar Patel Stadium Motera
11/3/2010,ODI,winner Sri Lanka by wickets 1,50,Australia, Sri Lanka,Australia,bat,Melbourne Cricket Ground
11/5/2010,ODI,winner Sri Lanka by runs 29,50,Australia, Sri Lanka,Sri Lanka,bat,Sydney Cricket Ground
11/7/2010,ODI,winner Australia by wickets 8,50,Australia, Sri Lanka,Sri Lanka,bat,Brisbane Cricket Ground Woolloongabba
1/16/2011,ODI,winner Australia by wickets 6,50,Australia, England,England,bat,Melbourne Cricket Ground
1/21/2011,ODI,winner Australia by runs 46,50,Australia, England,England,field,Bellerive Oval
1/23/2011,ODI,winner Australia by wickets 4,50,Australia, England,England,bat,Sydney Cricket Ground
1/26/2011,ODI,winner England by runs 21,50,Australia, England,England,bat,Adelaide Oval
1/30/2011,ODI,winner Australia by runs 51,50,Australia, England,Australia,bat,Brisbane Cricket Ground Woolloongabba
2/2/2011,ODI,winner Australia by wickets 2,50,Australia, England,England,bat,Sydney Cricket Ground
2/6/2011,ODI,winner Australia by runs 57,50,Australia, England,Australia,bat,Western Australia Cricket Association Ground
7/16/2010,ODI,winner Bangladesh by wickets 6,50,Ireland, Bangladesh,Ireland,bat,Civil Service Cricket Club Stormont
7/7/2010,ODI,winner Ireland by wickets 5,50,Canada, Ireland,Canada,bat,VRA Ground
8/16/2010,ODI,winner Afghanistan by wickets 9,50,Scotland, Afghanistan,Scotland,bat,Cambusdoon New Ground
8/17/2010,ODI,winner Scotland by wickets 6,50,Scotland, Afghanistan,Afghanistan,bat,Cambusdoon New Ground
5/28/2010,ODI,winner Zimbabwe by wickets 6,50,Zimbabwe, India,India,bat,Queens Sports Club
5/30/2010,ODI,winner India by wickets 7,50,India, Sri Lanka,India,field,Queens Sports Club
6/1/2010,ODI,winner Sri Lanka by wickets 9,50,Zimbabwe, Sri Lanka,Sri Lanka,field,Queens Sports Club
6/3/2010,ODI,winner Zimbabwe by wickets 7,50,Zimbabwe, India,Zimbabwe,field,Harare Sports Club
6/5/2010,ODI,winner Sri Lanka by wickets 6,50,India, Sri Lanka,Sri Lanka,field,Harare Sports Club
6/7/2010,ODI,winner Zimbabwe by wickets 8,50,Zimbabwe, Sri Lanka,Zimbabwe,field,Harare Sports Club
6/9/2010,ODI,winner Sri Lanka by wickets 9,50,Zimbabwe, Sri Lanka,Sri Lanka,field,Harare Sports Club
6/15/2010,ODI,winner Sri Lanka by runs 16,50,Sri Lanka, Pakistan,Sri Lanka,bat,Rangiri Dambulla International Stadium
6/16/2010,ODI,winner India by wickets 6,50,Bangladesh, India,Bangladesh,bat,Rangiri Dambulla International Stadium
6/18/2010,ODI,winner Sri Lanka by runs 126,50,Sri Lanka, Bangladesh,Sri Lanka,bat,Rangiri Dambulla International Stadium
6/19/2010,ODI,winner India by wickets 3,50,India, Pakistan,Pakistan,bat,Rangiri Dambulla International Stadium
6/21/2010,ODI,winner Pakistan by runs 139,50,Bangladesh, Pakistan,Pakistan,bat,Rangiri Dambulla International Stadium
6/22/2010,ODI,winner Sri Lanka by wickets 7,50,Sri Lanka, India,Sri Lanka,field,Rangiri Dambulla International Stadium
6/24/2010,ODI,winner India by runs 81,50,Sri Lanka, India,India,bat,Rangiri Dambulla International Stadium
8/10/2010,ODI,winner New Zealand by runs 200,50,India, New Zealand,New Zealand,bat,Rangiri Dambulla International Stadium
8/16/2010,ODI,winner India by wickets 6,50,Sri Lanka, India,Sri Lanka,bat,Rangiri Dambulla International Stadium
8/13/2010,ODI,winner Sri Lanka by wickets 3,50,Sri Lanka, New Zealand,New Zealand,bat,Rangiri Dambulla International Stadium
8/25/2010,ODI,winner India by runs 105,50,India, New Zealand,India,bat,Rangiri Dambulla International Stadium
8/22/2010,ODI,winner Sri Lanka by wickets 8,50,Sri Lanka, India,India,bat,Rangiri Dambulla International Stadium
8/28/2010,ODI,winner Sri Lanka by runs 74,50,Sri Lanka, India,Sri Lanka,bat,Rangiri Dambulla International Stadium
10/29/2010,ODI,winner South Africa by wickets 8,50,Pakistan, South Africa,Pakistan,bat,Sheikh Zayed Stadium
10/31/2010,ODI,winner Pakistan by wickets 1,50,Pakistan, South Africa,South Africa,bat,Sheikh Zayed Stadium
11/2/2010,ODI,winner South Africa by runs 2,50,Pakistan, South Africa,Pakistan,field,Dubai International Cricket Stadium
11/5/2010,ODI,winner Pakistan by wickets 1,50,Pakistan, South Africa,South Africa,bat,Dubai International Cricket Stadium
11/8/2010,ODI,winner South Africa by runs 57,50,Pakistan, South Africa,South Africa,bat,Dubai International Cricket Stadium
10/15/2010,ODI,winner South Africa by runs 64,50,South Africa, Zimbabwe,South Africa,bat,OUTsurance Oval
10/17/2010,ODI,winner South Africa by wickets 8,50,South Africa, Zimbabwe,Zimbabwe,bat,Senwes Park
10/22/2010,ODI,winner South Africa by runs 272,50,South Africa, Zimbabwe,South Africa,bat,Willowmoore Park
1/12/2011,ODI,winner South Africa by runs 135,50,South Africa, India,South Africa,bat,Kingsmead
1/15/2011,ODI,winner India by runs 1,50,South Africa, India,India,bat,New Wanderers Stadium
1/18/2011,ODI,winner India by wickets 2,50,South Africa, India,South Africa,bat,Newlands
1/21/2011,ODI,winner South Africa by runs 48,50,South Africa, India,South Africa,bat,St George's Park
1/23/2011,ODI,winner South Africa by runs 33,50,South Africa, India,India,field,SuperSport Park
10/20/2010,ODI,winner India by wickets 5,50,India, Australia,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
8/18/2010,ODI,winner Ireland by wickets 9,50,Ireland, Netherlands,Netherlands,bat,Clontarf Cricket Club Ground
9/6/2010,ODI,winner Canada by runs 4,50,Canada, Ireland,Ireland,bat,Toronto Cricket
1/31/2011,ODI,no result,50,Sri Lanka, West Indies,West Indies,bat,Sinhalese Sports Club Ground
2/3/2011,ODI,winner Sri Lanka by wickets 8,50,Sri Lanka, West Indies,Sri Lanka,field,Sinhalese Sports Club Ground
2/6/2011,ODI,winner Sri Lanka by runs 26,50,Sri Lanka, West Indies,West Indies,field,Sinhalese Sports Club Ground
11/28/2010,ODI,winner India by runs 40,50,India, New Zealand,New Zealand,field,Nehru Stadium
12/1/2010,ODI,winner India by wickets 8,50,India, New Zealand,India,field,Sawai Mansingh Stadium
12/4/2010,ODI,winner India by wickets 9,50,India, New Zealand,India,field,Reliance Stadium
12/7/2010,ODI,winner India by wickets 5,50,India, New Zealand,India,field,M Chinnaswamy Stadium
12/10/2010,ODI,winner India by wickets 8,50,India, New Zealand,New Zealand,bat,MA Chidambaram Stadium Chepauk
8/19/2010,ODI,no result,50,Sri Lanka, New Zealand,New Zealand,field,Rangiri Dambulla International Stadium
1/22/2011,ODI,winner New Zealand by wickets 9,50,New Zealand, Pakistan,Pakistan,bat,Westpac Stadium
1/26/2011,ODI,no result,50,New Zealand, Pakistan,New Zealand,field,Queenstown Events Centre
1/29/2011,ODI,winner Pakistan by runs 43,50,New Zealand, Pakistan,New Zealand,field,AMI Stadium
2/1/2011,ODI,winner Pakistan by wickets 2,50,New Zealand, Pakistan,New Zealand,bat,McLean Park
2/3/2011,ODI,winner Pakistan by runs 41,50,New Zealand, Pakistan,New Zealand,field,Seddon Park
2/5/2011,ODI,winner New Zealand by runs 57,50,New Zealand, Pakistan,Pakistan,field,Eden Park
6/28/2011,ODI,winner England by runs 110,50,England, Sri Lanka,Sri Lanka,field,Kennington Oval
7/1/2011,ODI,winner Sri Lanka by runs 69,50,England, Sri Lanka,England,field,Headingley
7/3/2011,ODI,winner Sri Lanka by wickets 6,50,England, Sri Lanka,England,bat,Lord's
7/6/2011,ODI,winner England by wickets 10,50,England, Sri Lanka,England,field,Trent Bridge
7/9/2011,ODI,winner England by runs 16,50,England, Sri Lanka,England,bat,Old Trafford
9/3/2011,ODI,no result,50,England, India,England,field,Riverside Ground
9/6/2011,ODI,winner England by wickets 7,50,England, India,England,field,The Rose Bowl
9/9/2011,ODI,winner England by wickets 3,50,England, India,England,field,Kennington Oval
9/11/2011,ODI,method tie,50,England, India,England,field,Lord's
9/16/2011,ODI,winner England by wickets 6,50,England, India,England,field,Sophia Gardens
10/5/2010,ODI,winner Bangladesh by runs 9,50,Bangladesh, New Zealand,Bangladesh,bat,Shere Bangla National Stadium
10/11/2010,ODI,winner Bangladesh by wickets 7,50,Bangladesh, New Zealand,Bangladesh,field,Shere Bangla National Stadium
10/14/2010,ODI,winner Bangladesh by runs 9,50,Bangladesh, New Zealand,New Zealand,field,Shere Bangla National Stadium
10/17/2010,ODI,winner Bangladesh by runs 3,50,Bangladesh, New Zealand,Bangladesh,bat,Shere Bangla National Stadium
8/25/2011,ODI,winner England by runs 11,50,Ireland, England,Ireland,field,Clontarf Cricket Club Ground
12/1/2010,ODI,winner Zimbabwe by runs 9,50,Bangladesh, Zimbabwe,Bangladesh,field,Shere Bangla National Stadium
12/3/2010,ODI,winner Bangladesh by wickets 6,50,Bangladesh, Zimbabwe,Bangladesh,field,Shere Bangla National Stadium
12/6/2010,ODI,winner Bangladesh by runs 65,50,Bangladesh, Zimbabwe,Zimbabwe,field,Shere Bangla National Stadium
12/12/2010,ODI,winner Bangladesh by wickets 6,50,Bangladesh, Zimbabwe,Zimbabwe,bat,Zahur Ahmed Chowdhury Stadium
4/23/2011,ODI,winner Pakistan by wickets 8,50,West Indies, Pakistan,West Indies,bat,Beausejour Stadium Gros Islet
4/25/2011,ODI,winner Pakistan by wickets 7,50,West Indies, Pakistan,Pakistan,field,Beausejour Stadium Gros Islet
4/28/2011,ODI,winner Pakistan by wickets 3,50,West Indies, Pakistan,Pakistan,field,Kensington Oval Bridgetown
5/2/2011,ODI,winner West Indies by runs 1,50,West Indies, Pakistan,West Indies,field,Kensington Oval Bridgetown
5/5/2011,ODI,winner West Indies by wickets 10,50,West Indies, Pakistan,Pakistan,bat,Providence Stadium
6/6/2011,ODI,winner India by wickets 4,50,West Indies, India,West Indies,bat,Queen's Park Oval Port of Spain
6/8/2011,ODI,winner India by wickets 7,50,West Indies, India,India,field,Queen's Park Oval Port of Spain
6/11/2011,ODI,winner India by wickets 3,50,West Indies, India,India,field,Sir Vivian Richards Stadium North Sound
6/13/2011,ODI,winner West Indies by runs 103,50,West Indies, India,India,field,Sir Vivian Richards Stadium North Sound
6/16/2011,ODI,winner West Indies by wickets 7,50,West Indies, India,West Indies,field,Sabina Park Kingston
4/9/2011,ODI,winner Australia by runs 60,50,Bangladesh, Australia,Bangladesh,field,Shere Bangla National Stadium
4/11/2011,ODI,winner Australia by wickets 9,50,Bangladesh, Australia,Bangladesh,bat,Shere Bangla National Stadium
4/13/2011,ODI,winner Australia by runs 66,50,Bangladesh, Australia,Australia,bat,Shere Bangla National Stadium
6/29/2011,ODI,winner Scotland by wickets 5,50,Scotland, Netherlands,Scotland,field,Mannofield Park
10/19/2011,ODI,winner Australia by runs 93,50,South Africa, Australia,South Africa,field,SuperSport Park
10/23/2011,ODI,winner South Africa by runs 80,50,South Africa, Australia,South Africa,bat,St George's Park
10/28/2011,ODI,winner Australia by wickets 3,50,South Africa, Australia,South Africa,bat,Kingsmead
1/11/2012,ODI,winner South Africa by runs 258,50,South Africa, Sri Lanka,South Africa,bat,Boland Park
1/14/2012,ODI,winner South Africa by wickets 5,50,South Africa, Sri Lanka,South Africa,field,Buffalo Park
1/17/2012,ODI,winner South Africa by runs 4,50,South Africa, Sri Lanka,Sri Lanka,bat,Chevrolet Park
1/20/2012,ODI,winner Sri Lanka by wickets 5,50,South Africa, Sri Lanka,South Africa,bat,De Beers Diamond Oval
1/22/2012,ODI,winner Sri Lanka by wickets 2,50,South Africa, Sri Lanka,Sri Lanka,field,New Wanderers Stadium
8/10/2011,ODI,winner Australia by wickets 7,50,Sri Lanka, Australia,Sri Lanka,bat,Pallekele International Cricket Stadium
8/14/2011,ODI,winner Australia by wickets 8,50,Sri Lanka, Australia,Sri Lanka,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
8/16/2011,ODI,winner Sri Lanka by runs 78,50,Sri Lanka, Australia,Australia,field,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
8/20/2011,ODI,winner Australia by wickets 5,50,Sri Lanka, Australia,Sri Lanka,bat,R Premadasa Stadium
8/22/2011,ODI,winner Sri Lanka by wickets 4,50,Sri Lanka, Australia,Sri Lanka,field,R Premadasa Stadium
2/5/2012,ODI,winner Australia by runs 65,50,Australia, India,India,field,Melbourne Cricket Ground
2/8/2012,ODI,winner India by wickets 4,50,India, Sri Lanka,Sri Lanka,bat,Western Australia Cricket Association Ground
2/10/2012,ODI,winner Australia by runs 5,50,Australia, Sri Lanka,Sri Lanka,field,Western Australia Cricket Association Ground
2/12/2012,ODI,winner India by wickets 4,50,Australia, India,Australia,bat,Adelaide Oval
2/14/2012,ODI,tie,50,India, Sri Lanka,Sri Lanka,bat,Adelaide Oval
2/17/2012,ODI,winner Sri Lanka by wickets 8,50,Australia, Sri Lanka,Australia,bat,Sydney Cricket Ground
2/19/2012,ODI,winner Australia by runs 110,50,Australia, India,Australia,bat,Brisbane Cricket Ground Woolloongabba
2/21/2012,ODI,winner Sri Lanka by runs 51,50,India, Sri Lanka,Sri Lanka,bat,Brisbane Cricket Ground Woolloongabba
2/24/2012,ODI,winner Sri Lanka by wickets 3,50,Australia, Sri Lanka,Australia,bat,Bellerive Oval
2/26/2012,ODI,winner Australia by runs 87,50,Australia, India,Australia,bat,Sydney Cricket Ground
2/28/2012,ODI,winner India by wickets 7,50,India, Sri Lanka,India,field,Bellerive Oval
3/2/2012,ODI,winner Sri Lanka by runs 9,50,Australia, Sri Lanka,Sri Lanka,bat,Melbourne Cricket Ground
3/4/2012,ODI,winner Australia by runs 15,50,Australia, Sri Lanka,Australia,bat,Brisbane Cricket Ground Woolloongabba
3/6/2012,ODI,winner Sri Lanka by wickets 8,50,Australia, Sri Lanka,Australia,bat,Adelaide Oval
3/8/2012,ODI,winner Australia by runs 16,50,Australia, Sri Lanka,Sri Lanka,field,Adelaide Oval
2/3/2012,ODI,winner New Zealand by runs 90,50,New Zealand, Zimbabwe,Zimbabwe,field,University Oval
2/6/2012,ODI,winner New Zealand by runs 141,50,New Zealand, Zimbabwe,Zimbabwe,field,Cobham Oval (New)
2/9/2012,ODI,winner New Zealand by runs 202,50,New Zealand, Zimbabwe,New Zealand,bat,McLean Park
2/25/2012,ODI,winner South Africa by wickets 6,50,New Zealand, South Africa,New Zealand,bat,Westpac Stadium
2/29/2012,ODI,winner South Africa by wickets 6,50,New Zealand, South Africa,South Africa,field,McLean Park
3/3/2012,ODI,winner South Africa by wickets 5,50,New Zealand, South Africa,South Africa,field,Eden Park
10/14/2011,ODI,winner India by runs 126,50,India, England,India,bat,Rajiv Gandhi International Stadium Uppal
10/17/2011,ODI,winner India by wickets 8,50,India, England,England,bat,Feroz Shah Kotla
10/20/2011,ODI,winner India by wickets 5,50,India, England,England,bat,Punjab Cricket Association Stadium Mohali
10/23/2011,ODI,winner India by wickets 6,50,India, England,England,bat,Wankhede Stadium
10/25/2011,ODI,winner India by runs 95,50,India, England,England,field,Eden Gardens
8/12/2011,ODI,winner Zimbabwe by wickets 4,50,Zimbabwe, Bangladesh,Zimbabwe,field,Harare Sports Club
8/14/2011,ODI,winner Zimbabwe by wickets 7,50,Zimbabwe, Bangladesh,Zimbabwe,field,Harare Sports Club
8/16/2011,ODI,winner Zimbabwe by runs 5,50,Zimbabwe, Bangladesh,Bangladesh,field,Harare Sports Club
8/19/2011,ODI,winner Bangladesh by wickets 6,50,Zimbabwe, Bangladesh,Bangladesh,field,Queens Sports Club
8/21/2011,ODI,winner Bangladesh by runs 93,50,Zimbabwe, Bangladesh,Zimbabwe,field,Queens Sports Club
9/8/2011,ODI,winner Pakistan by runs 5,50,Zimbabwe, Pakistan,Pakistan,bat,Queens Sports Club
9/11/2011,ODI,winner Pakistan by wickets 10,50,Zimbabwe, Pakistan,Zimbabwe,bat,Harare Sports Club
9/14/2011,ODI,winner Pakistan by runs 28,50,Zimbabwe, Pakistan,Zimbabwe,field,Harare Sports Club
9/19/2011,ODI,winner Ireland by runs 133,50,Ireland, Canada,Canada,field,Clontarf Cricket Club Ground
9/20/2011,ODI,winner Ireland by runs 56,50,Ireland, Canada,Ireland,bat,Clontarf Cricket Club Ground
10/20/2011,ODI,winner New Zealand by wickets 9,50,Zimbabwe, New Zealand,Zimbabwe,bat,Harare Sports Club
10/22/2011,ODI,winner New Zealand by wickets 4,50,Zimbabwe, New Zealand,New Zealand,field,Harare Sports Club
10/25/2011,ODI,winner Zimbabwe by wickets 1,50,Zimbabwe, New Zealand,New Zealand,bat,Queens Sports Club
11/11/2011,ODI,winner Pakistan by wickets 8,50,Pakistan, Sri Lanka,Sri Lanka,bat,Dubai International Cricket Stadium
11/14/2011,ODI,winner Sri Lanka by runs 25,50,Pakistan, Sri Lanka,Sri Lanka,bat,Dubai International Cricket Stadium
11/18/2011,ODI,winner Pakistan by runs 21,50,Pakistan, Sri Lanka,Pakistan,bat,Dubai International Cricket Stadium
11/20/2011,ODI,winner Pakistan by runs 26,50,Pakistan, Sri Lanka,Pakistan,bat,Sharjah Cricket Stadium
11/23/2011,ODI,winner Pakistan by wickets 3,50,Pakistan, Sri Lanka,Sri Lanka,bat,Sheikh Zayed Stadium
2/13/2012,ODI,winner England by runs 130,50,England, Pakistan,England,bat,Sheikh Zayed Stadium
2/15/2012,ODI,winner England by runs 20,50,England, Pakistan,England,bat,Sheikh Zayed Stadium
2/18/2012,ODI,winner England by wickets 9,50,England, Pakistan,Pakistan,bat,Dubai International Cricket Stadium
2/21/2012,ODI,winner England by wickets 4,50,England, Pakistan,Pakistan,bat,Dubai International Cricket Stadium
10/13/2011,ODI,winner West Indies by runs 40,50,Bangladesh, West Indies,Bangladesh,field,Shere Bangla National Stadium
10/15/2011,ODI,winner West Indies by wickets 8,50,Bangladesh, West Indies,Bangladesh,bat,Shere Bangla National Stadium
10/18/2011,ODI,winner Bangladesh by wickets 8,50,Bangladesh, West Indies,Bangladesh,field,Zahur Ahmed Chowdhury Stadium
6/16/2012,ODI,winner England by runs 114,50,England, West Indies,West Indies,field,The Rose Bowl
6/19/2012,ODI,winner England by wickets 8,50,England, West Indies,England,field,Kennington Oval
6/23/2012,ODI,no result,50,Ireland, Australia,Australia,field,Civil Service Cricket Club Stormont
6/29/2012,ODI,winner England by runs 15,50,England, Australia,Australia,field,Lord's
7/1/2012,ODI,winner England by wickets 6,50,England, Australia,Australia,bat,Kennington Oval
7/7/2012,ODI,winner England by wickets 8,50,England, Australia,England,field,Riverside Ground
7/10/2012,ODI,winner England by wickets 7,50,England, Australia,England,field,Old Trafford
8/24/2012,ODI,no result,50,England, South Africa,South Africa,field,Sophia Gardens
8/28/2012,ODI,winner South Africa by runs 80,50,England, South Africa,South Africa,bat,The Rose Bowl
8/31/2012,ODI,winner England by wickets 4,50,England, South Africa,South Africa,bat,Kennington Oval
9/2/2012,ODI,winner England by wickets 6,50,England, South Africa,England,field,Lord's
9/5/2012,ODI,winner South Africa by wickets 7,50,England, South Africa,England,bat,Trent Bridge
3/11/2012,ODI,winner Pakistan by runs 21,50,Bangladesh, Pakistan,Bangladesh,field,Shere Bangla National Stadium
3/13/2012,ODI,winner India by runs 50,50,India, Sri Lanka,Sri Lanka,field,Shere Bangla National Stadium
3/15/2012,ODI,winner Pakistan by wickets 6,50,Pakistan, Sri Lanka,Sri Lanka,bat,Shere Bangla National Stadium
3/16/2012,ODI,winner Bangladesh by wickets 5,50,Bangladesh, India,Bangladesh,field,Shere Bangla National Stadium
3/18/2012,ODI,winner India by wickets 6,50,India, Pakistan,Pakistan,bat,Shere Bangla National Stadium
3/20/2012,ODI,winner Bangladesh by wickets 5,50,Bangladesh, Sri Lanka,Bangladesh,field,Shere Bangla National Stadium
3/22/2012,ODI,winner Pakistan by runs 2,50,Bangladesh, Pakistan,Bangladesh,field,Shere Bangla National Stadium
11/29/2011,ODI,winner India by wickets 1,50,India, West Indies,India,field,Barabati Stadium
12/2/2011,ODI,winner India by wickets 5,50,India, West Indies,India,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
12/5/2011,ODI,winner West Indies by runs 16,50,India, West Indies,India,field,Sardar Patel Stadium Motera
12/8/2011,ODI,winner India by runs 153,50,India, West Indies,India,bat,Holkar Cricket Stadium
12/11/2011,ODI,winner India by runs 34,50,India, West Indies,India,bat,MA Chidambaram Stadium Chepauk
12/1/2011,ODI,winner Pakistan by wickets 5,50,Bangladesh, Pakistan,Bangladesh,bat,Shere Bangla National Stadium
12/3/2011,ODI,winner Pakistan by runs 76,50,Bangladesh, Pakistan,Pakistan,bat,Shere Bangla National Stadium
12/6/2011,ODI,winner Pakistan by runs 58,50,Bangladesh, Pakistan,Pakistan,bat,Zahur Ahmed Chowdhury Stadium
3/16/2012,ODI,winner Australia by runs 64,50,West Indies, Australia,Australia,bat,Arnos Vale Ground Kingstown
3/18/2012,ODI,winner West Indies by wickets 5,50,West Indies, Australia,West Indies,field,Arnos Vale Ground Kingstown
3/20/2012,ODI,tie,50,West Indies, Australia,Australia,bat,Arnos Vale Ground Kingstown
3/23/2012,ODI,winner West Indies by runs 42,50,West Indies, Australia,Australia,field,Beausejour Stadium Gros Islet
3/25/2012,ODI,winner Australia by runs 30,50,West Indies, Australia,West Indies,field,Beausejour Stadium Gros Islet
2/18/2012,ODI,winner Kenya by wickets 7,50,Kenya, Ireland,Ireland,bat,Mombasa Sports Club Ground
2/20/2012,ODI,winner Ireland by runs 117,50,Kenya, Ireland,Ireland,bat,Mombasa Sports Club Ground
3/29/2012,ODI,winner Netherlands by wickets 9,50,Afghanistan, Netherlands,Afghanistan,bat,Sharjah Cricket Stadium
2/10/2012,ODI,winner Pakistan by wickets 7,50,Afghanistan, Pakistan,Afghanistan,bat,Sharjah Cricket Stadium
7/5/2012,ODI,winner Ireland by runs 59,50,Ireland, Afghanistan,Afghanistan,field,Clontarf Cricket Club Ground
7/5/2012,ODI,winner West Indies by wickets 9,50,West Indies, New Zealand,West Indies,field,Sabina Park Kingston
7/7/2012,ODI,winner West Indies by runs 55,50,West Indies, New Zealand,New Zealand,field,Sabina Park Kingston
7/11/2012,ODI,winner New Zealand by runs 88,50,West Indies, New Zealand,West Indies,field,Warner Park Basseterre
7/14/2012,ODI,winner West Indies by runs 24,50,West Indies, New Zealand,West Indies,bat,Warner Park Basseterre
7/16/2012,ODI,winner West Indies by runs 20,50,West Indies, New Zealand,West Indies,bat,Warner Park Basseterre
6/7/2012,ODI,winner Pakistan by wickets 6,50,Sri Lanka, Pakistan,Sri Lanka,bat,Pallekele International Cricket Stadium
6/9/2012,ODI,winner Sri Lanka by runs 76,50,Sri Lanka, Pakistan,Sri Lanka,bat,Pallekele International Cricket Stadium
6/13/2012,ODI,no result,50,Sri Lanka, Pakistan,Pakistan,bat,R Premadasa Stadium
6/16/2012,ODI,winner Sri Lanka by runs 44,50,Sri Lanka, Pakistan,Sri Lanka,bat,R Premadasa Stadium
6/18/2012,ODI,winner Sri Lanka by wickets 2,50,Sri Lanka, Pakistan,Pakistan,bat,R Premadasa Stadium
7/21/2012,ODI,winner India by runs 21,50,Sri Lanka, India,India,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
7/24/2012,ODI,winner Sri Lanka by wickets 9,50,Sri Lanka, India,India,bat,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa
7/28/2012,ODI,winner India by wickets 5,50,Sri Lanka, India,Sri Lanka,bat,R Premadasa Stadium
7/31/2012,ODI,winner India by wickets 6,50,Sri Lanka, India,Sri Lanka,bat,R Premadasa Stadium
8/4/2012,ODI,winner India by runs 20,50,Sri Lanka, India,India,bat,Pallekele International Cricket Stadium
1/11/2013,ODI,winner England by runs 9,50,India, England,England,bat,Saurashtra Cricket Association Stadium
1/15/2013,ODI,winner India by runs 127,50,India, England,India,bat,Nehru Stadium
1/19/2013,ODI,winner India by wickets 7,50,India, England,India,field,JSCA International Stadium Complex
1/23/2013,ODI,winner India by wickets 5,50,India, England,India,field,Punjab Cricket Association Stadium Mohali
1/27/2013,ODI,winner England by wickets 7,50,India, England,England,field,Himachal Pradesh Cricket Association Stadium
5/31/2013,ODI,winner New Zealand by wickets 5,50,England, New Zealand,New Zealand,field,Lord's
6/2/2013,ODI,winner New Zealand by runs 86,50,England, New Zealand,New Zealand,bat,The Rose Bowl
6/5/2013,ODI,winner England by runs 34,50,England, New Zealand,New Zealand,field,Trent Bridge
9/3/2013,ODI,winner England by wickets 6,50,Ireland, England,England,field,The Village Malahide
9/8/2013,ODI,winner Australia by runs 88,50,England, Australia,England,field,Old Trafford
9/11/2013,ODI,no result,50,England, Australia,Australia,field,Edgbaston
9/14/2013,ODI,winner England by wickets 3,50,England, Australia,England,field,Sophia Gardens
9/16/2013,ODI,winner Australia by runs 49,50,England, Australia,Australia,bat,The Rose Bowl
6/19/2013,ODI,winner England by wickets 7,50,England, South Africa,England,field,Kennington Oval
6/20/2013,ODI,winner India by wickets 8,50,India, Sri Lanka,India,field,Sophia Gardens
6/23/2013,ODI,winner India by runs 5,50,England, India,England,field,Edgbaston
